ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR11434786.6625945,2,109,147,Inward,36.0
SRR11434786.31393893,2,208,246,Inward,36.0
SRR11434786.52473595,2,84,122,Inward,36.0
SRR11434786.63401514,2,190,227,Inward,35.0
SRR11434786.66057613,2,204,241,Inward,35.0
SRR11434786.114653028,2,137,175,Inward,36.0
SRR11434786.116278774,2,174,212,Inward,35.0
SRR11434786.141337899,2,212,250,Inward,36.0
SRR11434786.148584139,2,128,166,Inward,36.0
SRR11434786.152262430,2,195,233,Inward,36.0
SRR11434786.170578501,2,124,161,Inward,35.0
SRR11434786.173202639,2,182,219,Inward,35.0
SRR11434786.181451910,2,50,88,Inward,36.0
SRR11434786.190515060,2,7,45,Inward,36.0
SRR11434786.198607243,2,171,208,Inward,35.0
SRR11434786.206489663,2,49,87,Inward,36.0
SRR11434786.209180221,2,182,220,Inward,36.0
SRR11434786.247839362,2,152,189,Inward,35.0
SRR11434786.256614365,2,131,168,Inward,35.0
SRR11434786.266951097,2,77,115,Inward,36.0
SRR11434786.273391835,2,78,116,Inward,36.0
SRR11434786.289802026,2,192,229,Inward,35.0
SRR11434786.307665014,2,147,185,Inward,36.0
SRR11434786.312551333,2,128,166,Inward,36.0
SRR11434786.340170767,2,111,149,Inward,36.0
SRR11434786.341565154,2,199,237,Inward,36.0
SRR11434786.347820308,2,61,99,Inward,36.0
SRR11434786.352595178,2,26,64,Inward,36.0
SRR11434786.359302721,0,54,90,Outward,36.0
SRR11434786.359760173,10,107,153,Inward,36.0
SRR11434786.371428078,2,12,49,Inward,35.0
SRR11434786.377881887,2,149,187,Inward,36.0
SRR11434786.379571505,2,9,46,Inward,35.0
SRR11434786.395862434,2,83,121,Inward,36.0
SRR11434786.401586766,2,195,233,Inward,36.0
SRR11434786.403879246,2,38,75,Inward,35.0
